,Currency,Rates
0,AED,3.672968
1,AFN,89.000271
2,ALL,108.043398
3,AMD,391.680463
4,ANG,1.803483
5,AOA,506.497564
6,ARS,193.1832
7,AUD,1.454725
8,AWG,1.8
9,AZN,1.702932
10,BAM,1.836374
11,BBD,2.02046
12,BDT,106.274771
13,BGN,1.83168
14,BHD,0.376887
15,BIF,2078.666297
16,BMD,1.0
17,BND,1.339092
18,BOB,6.914803
19,BRL,5.167901
20,BSD,1.000592
21,BTC,4.0979764e-05
22,BTN,82.861583
23,BWP,13.218846
24,BYN,2.525739
25,BYR,19600.0
26,BZD,2.017042
27,CAD,1.350525
28,CDF,2046.999904
29,CHF,0.9269
30,CLF,0.028928
31,CLP,797.91978
32,CNY,6.873597
33,COP,4944.88
34,CRC,558.606605
35,CUC,1.0
36,CUP,26.5
37,CVE,103.523547
38,CZK,22.245502
39,DJF,178.172548
40,DKK,6.97844
41,DOP,56.028319
42,DZD,136.927575
43,EGP,30.6045
44,ERN,15.0
45,ETB,53.798747
46,EUR,0.93735
47,FJD,2.19835
48,FKP,0.830715
49,GBP,0.82511
50,GEL,2.645007
51,GGP,0.830715
52,GHS,12.757949
53,GIP,0.830715
54,GMD,61.149938
55,GNF,8609.708009
56,GTQ,7.823041
57,GYD,211.141575
58,HKD,7.84515
59,HNL,24.669136
60,HRK,7.054794
61,HTG,149.379117
62,HUF,358.920238
63,IDR,15220.0
64,ILS,3.63556
65,IMP,0.830715
66,INR,82.8616
67,IQD,1460.489747
68,IRR,42250.000051
69,ISK,144.640134
70,JEP,0.830715
71,JMD,154.290409
72,JOD,0.709401
73,JPY,134.841501
74,KES,126.129858
75,KGS,87.418102
76,KHR,4077.648937
77,KMF,460.598278
78,KPW,899.956278
79,KRW,1302.839958
80,KWD,0.30655
81,KYD,0.833865
82,KZT,447.217215
83,LAK,16865.02068
84,LBP,15194.557005
85,LKR,365.250349
86,LRD,157.300541
87,LSL,18.030214
88,LTL,2.95274
89,LVL,0.60489
90,LYD,4.813968
91,MAD,10.385627
92,MDL,18.788434
93,MGA,4288.533671
94,MKD,57.789345
95,MMK,2101.390276
96,MNT,3524.998196
97,MOP,8.084297
98,MRO,356.999828
99,MUR,46.656109
100,MVR,15.359994
101,MWK,1027.157874
102,MXN,18.396401
103,MYR,4.432497
104,MZN,63.098917
105,NAD,18.030313
106,NGN,460.469632
107,NIO,36.565773
108,NOK,10.27337
109,NPR,132.577475
110,NZD,1.607655
111,OMR,0.385057
112,PAB,1.000634
113,PEN,3.843684
114,PGK,3.571311
115,PHP,55.013989
116,PKR,262.429731
117,PLN,4.451193
118,PYG,7338.528708
119,QAR,3.64104
120,RON,4.611963
121,RSD,109.959657
122,RUB,74.950231
123,RWF,1088.204916
124,SAR,3.751089
125,SBD,8.265733
126,SCR,14.139266
127,SDG,585.47226
128,SEK,10.33617
129,SGD,1.338635
130,SHP,1.21675
131,SLE,19.840028
132,SLL,19750.000098
133,SOS,568.498534
134,SRD,33.523972
135,STD,20697.981008
136,SVC,8.755992
137,SYP,2512.529747
138,SZL,18.219487
139,THB,34.602992
140,TJS,10.711281
141,TMT,3.51
142,TND,3.1005
143,TOP,2.3423
144,TRY,18.875302
145,TTD,6.790578
146,TWD,30.510503
147,TZS,2339.999701
148,UAH,36.777701
149,UGX,3692.322137
150,USD,1.0
151,UYU,39.613332
152,UZS,11327.264875
153,VEF,2434503.294366
154,VES,24.356926
155,VND,23720.0
156,VUV,119.066504
157,WST,2.70784
158,XAF,615.893151
159,XAG,0.045758
160,XAU,0.000545
161,XCD,2.70255
162,XDR,0.751796
163,XOF,615.878694
164,XPF,112.099262
165,YER,250.349726
166,ZAR,18.27355
167,ZMK,9001.196929
168,ZMW,19.538043
169,ZWL,321.999592
